Platform,Category,Problem Name,URL,Difficulty,Key Concept,Chapter
Codeforces,Shape/Grid,Circle of Apple Trees,https://codeforces.com/problemset/problem/2153/A,800,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Grid Counting,https://codeforces.com/problemset/problem/2150/B,1700,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Strict Triangle,https://codeforces.com/problemset/problem/2128/F,3200,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Greedy Grid Counting,https://codeforces.com/problemset/problem/2122/E,2600,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Greedy Grid,https://codeforces.com/problemset/problem/2122/A,800,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Matrix game,https://codeforces.com/problemset/problem/2120/D,1800,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Mex in the Grid,https://codeforces.com/problemset/problem/2101/A,1300,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Binary Matrix,https://codeforces.com/problemset/problem/2082/A,800,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Hot Matrix,https://codeforces.com/problemset/problem/2081/F,3300,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Quaternary Matrix,https://codeforces.com/problemset/problem/2081/C,2700,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Maximum Polygon,https://codeforces.com/problemset/problem/2077/D,3100,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,XOR Matrix,https://codeforces.com/problemset/problem/2075/E,2500,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Squares on Grid Lines,https://codeforces.com/problemset/problem/2073/I,3100,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Triangle Tree,https://codeforces.com/problemset/problem/2063/E,2300,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Earnest Matrix Complement,https://codeforces.com/problemset/problem/2053/F,2600,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Grid Game 3-angle,https://codeforces.com/problemset/problem/2045/F,3000,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Matrix Transformation,https://codeforces.com/problemset/problem/2043/E,2300,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Grid Game,https://codeforces.com/problemset/problem/2041/G,3100,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Grid Walk,https://codeforces.com/problemset/problem/2038/K,2100,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Strange Matrix,https://codeforces.com/problemset/problem/2011/H,N/A,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Xor-Grid Problem,https://codeforces.com/problemset/problem/1993/E,2700,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Grid Reset,https://codeforces.com/problemset/problem/1991/G,2700,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Triangle Formation,https://codeforces.com/problemset/problem/1991/F,2200,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Polygonal Segments,https://codeforces.com/problemset/problem/1990/F,2800,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Grid Puzzle,https://codeforces.com/problemset/problem/1990/D,1800,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Matrix Stabilization,https://codeforces.com/problemset/problem/1986/B,1000,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Manhattan Circle,https://codeforces.com/problemset/problem/1985/D,900,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Rectangle Filling,https://codeforces.com/problemset/problem/1966/B,1100,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Nene's Magical Matrix,https://codeforces.com/problemset/problem/1956/C,1600,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,GCD on a grid,https://codeforces.com/problemset/problem/1955/G,1900,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Grid,https://codeforces.com/problemset/problem/1952/F,N/A,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Make Triangle,https://codeforces.com/problemset/problem/1949/K,2800,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Forming Triangles,https://codeforces.com/problemset/problem/1922/B,1200,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Construct Matrix,https://codeforces.com/problemset/problem/1917/E,2500,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Matrix Rank (Hard Version),https://codeforces.com/problemset/problem/1916/H2,2700,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Matrix Rank (Easy Version),https://codeforces.com/problemset/problem/1916/H1,2700,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Matrix Problem,https://codeforces.com/problemset/problem/1913/E,2400,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Triangle Construction,https://codeforces.com/problemset/problem/1906/M,1700,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Grid Game 2,https://codeforces.com/problemset/problem/1906/G,2900,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Vova Escapes the Matrix,https://codeforces.com/problemset/problem/1898/F,2600,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Colorful Grid,https://codeforces.com/problemset/problem/1898/C,1700,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Fill in the Matrix,https://codeforces.com/problemset/problem/1868/A,1300,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Matrix Cascade,https://codeforces.com/problemset/problem/1864/D,1700,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Triangle Platinum?,https://codeforces.com/problemset/problem/1847/E,2900,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Great Grids,https://codeforces.com/problemset/problem/1844/E,2400,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Fill the Matrix,https://codeforces.com/problemset/problem/1841/E,2200,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Grid Reconstruction,https://codeforces.com/problemset/problem/1816/B,1000,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Triangle Coloring,https://codeforces.com/problemset/problem/1795/D,1600,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Matrix of Differences,https://codeforces.com/problemset/problem/1783/B,1100,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Rectangle Shrinking,https://codeforces.com/problemset/problem/1781/E,2300,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Matrix Rotation,https://codeforces.com/problemset/problem/1772/B,800,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Counting Rectangles,https://codeforces.com/problemset/problem/1722/E,1600,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,XOR Triangle,https://codeforces.com/problemset/problem/1710/C,2500,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Mirror Grid,https://codeforces.com/problemset/problem/1703/E,1200,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Almost Ternary Matrix,https://codeforces.com/problemset/problem/1699/B,900,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Subrectangle Guess,https://codeforces.com/problemset/problem/1695/A,800,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Matrix and Shifts,https://codeforces.com/problemset/problem/1660/E,1600,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Gojou and Matrix Game,https://codeforces.com/problemset/problem/1658/E,2500,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Grid Xor,https://codeforces.com/problemset/problem/1628/C,2300,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Tricolor Triangles,https://codeforces.com/problemset/problem/1616/F,2900,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,A Stroll Around the Matrix,https://codeforces.com/problemset/problem/1609/G,3000,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Red-Blue Matrix,https://codeforces.com/problemset/problem/1606/D,2400,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Coloring Rectangles,https://codeforces.com/problemset/problem/1584/B,1000,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Ezzat and Grid,https://codeforces.com/problemset/problem/1557/D,2200,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Nastia and a Beautiful Matrix,https://codeforces.com/problemset/problem/1521/E,2700,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Not Adjacent Matrix,https://codeforces.com/problemset/problem/1520/C,1000,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Almost Rectangle,https://codeforces.com/problemset/problem/1512/B,800,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Matrix Sorting,https://codeforces.com/problemset/problem/1500/C,2600,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Minimum Grid Path,https://codeforces.com/problemset/problem/1499/C,1500,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Enchanted Matrix,https://codeforces.com/problemset/problem/1493/F,2600,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Unusual Matrix,https://codeforces.com/problemset/problem/1475/F,1900,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Nullify The Matrix,https://codeforces.com/problemset/problem/1451/F,2700,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Symmetric Matrix,https://codeforces.com/problemset/problem/1426/B,900,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Nice Matrix,https://codeforces.com/problemset/problem/1422/B,1300,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Circle Coloring,https://codeforces.com/problemset/problem/1408/A,800,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Colored Rectangles,https://codeforces.com/problemset/problem/1398/D,1800,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Rainbow Rectangles,https://codeforces.com/problemset/problem/1396/D,3300,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Kevin and Grid,https://codeforces.com/problemset/problem/1392/I,3300,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Neighbor Grid,https://codeforces.com/problemset/problem/1375/B,1200,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Omkar and Circle,https://codeforces.com/problemset/problem/1372/D,2100,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Grid-00100,https://codeforces.com/problemset/problem/1371/D,1600,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Lamps on a Circle,https://codeforces.com/problemset/problem/1368/F,2600,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,A/B Matrix,https://codeforces.com/problemset/problem/1360/G,1900,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Count Triangles,https://codeforces.com/problemset/problem/1355/C,1800,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Ichihime and Triangle,https://codeforces.com/problemset/problem/1337/A,800,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Robots on a Grid,https://codeforces.com/problemset/problem/1335/F,2200,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Circle of Monsters,https://codeforces.com/problemset/problem/1334/C,1600,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Walk on Matrix,https://codeforces.com/problemset/problem/1332/D,1700,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Count Subrectangles,https://codeforces.com/problemset/problem/1323/B,1500,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Nash Matrix,https://codeforces.com/problemset/problem/1316/D,2000,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Beautiful Rectangle,https://codeforces.com/problemset/problem/1276/C,2300,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Diverse Matrix,https://codeforces.com/problemset/problem/1266/C,1400,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Find String in a Grid,https://codeforces.com/problemset/problem/1252/D,3000,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Shichikuji and Power Grid,https://codeforces.com/problemset/problem/1245/D,1900,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Increasing Matrix,https://codeforces.com/problemset/problem/1231/C,1100,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Another Filling the Grid,https://codeforces.com/problemset/problem/1228/E,2300,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Filling the Grid,https://codeforces.com/problemset/problem/1228/B,1400,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Polygons,https://codeforces.com/problemset/problem/1208/G,2800,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Magic Grid,https://codeforces.com/problemset/problem/1208/C,1800,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Equal Rectangles,https://codeforces.com/problemset/problem/1203/B,1200,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Circle of Students,https://codeforces.com/problemset/problem/1203/A,1000,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Rectangle Painting 2,https://codeforces.com/problemset/problem/1198/E,2500,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Rectangle Painting 1,https://codeforces.com/problemset/problem/1198/D,2300,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Tokitsukaze and Strange Rectangle,https://codeforces.com/problemset/problem/1190/D,2000,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Number Circle,https://codeforces.com/problemset/problem/1189/B,1100,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Nauuo and Circle,https://codeforces.com/problemset/problem/1172/B,1900,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Circle Metro,https://codeforces.com/problemset/problem/1169/A,900,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Double Matrix,https://codeforces.com/problemset/problem/1162/B,1400,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Maximum Balanced Circle,https://codeforces.com/problemset/problem/1157/F,2000,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Pavel and Triangles,https://codeforces.com/problemset/problem/1119/E,1900,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Palindromic Matrix,https://codeforces.com/problemset/problem/1118/C,1700,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Hessenberg matrix,https://codeforces.com/problemset/problem/1116/D6,N/A,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Block diagonal matrix,https://codeforces.com/problemset/problem/1116/D1,N/A,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Elongated Matrix,https://codeforces.com/problemset/problem/1102/F,2000,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Beautiful Matrix,https://codeforces.com/problemset/problem/1085/G,2900,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Sonya and Matrix Beauty,https://codeforces.com/problemset/problem/1080/E,2400,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Social Circles,https://codeforces.com/problemset/problem/1060/D,1900,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Maximum Subrectangle,https://codeforces.com/problemset/problem/1060/C,1600,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Grid Sort,https://codeforces.com/problemset/problem/1044/E,3100,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Vasya and Magic Matrix,https://codeforces.com/problemset/problem/1042/E,2300,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Minimum Value Rectangle,https://codeforces.com/problemset/problem/1027/C,1600,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Vasya And The Matrix,https://codeforces.com/problemset/problem/1016/D,1800,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Turn the Rectangles,https://codeforces.com/problemset/problem/1008/B,1000,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Sonya and Matrix,https://codeforces.com/problemset/problem/1004/D,2300,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Knights of a Polygonal Table,https://codeforces.com/problemset/problem/994/B,1400,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Arkady and Rectangles,https://codeforces.com/problemset/problem/983/D,3300,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Circles of Waiting,https://codeforces.com/problemset/problem/963/E,3100,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Cutting Rectangle,https://codeforces.com/problemset/problem/963/C,2600,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Matrix Walk,https://codeforces.com/problemset/problem/954/C,1700,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Love Triangle,https://codeforces.com/problemset/problem/939/A,800,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Clear The Matrix,https://codeforces.com/problemset/problem/903/F,2200,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Strange Game On Matrix,https://codeforces.com/problemset/problem/873/C,1600,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Circle of Numbers,https://codeforces.com/problemset/problem/859/G,3000,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Maximal Binary Matrix,https://codeforces.com/problemset/problem/803/A,1400,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Bear and Rectangle Strips,https://codeforces.com/problemset/problem/771/E,3000,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,PolandBall and Polygon,https://codeforces.com/problemset/problem/755/D,2000,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,New Year and Snowy Grid,https://codeforces.com/problemset/problem/750/H,3500,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Bear and Square Grid,https://codeforces.com/problemset/problem/679/C,2400,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Rotate Matrix,https://codeforces.com/problemset/problem/661/H,2400,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Ants on a Circle,https://codeforces.com/problemset/problem/652/F,2800,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Little Artem and Matrix,https://codeforces.com/problemset/problem/641/B,1400,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Magic Matrix,https://codeforces.com/problemset/problem/632/F,2400,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,A rectangle,https://codeforces.com/problemset/problem/630/E,1900,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Simba on the Circle,https://codeforces.com/problemset/problem/612/F,2600,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Love Triangles,https://codeforces.com/problemset/problem/553/C,2200,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Degenerate Matrix,https://codeforces.com/problemset/problem/549/H,2100,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Rooks and Rectangles,https://codeforces.com/problemset/problem/524/E,2400,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Fox And Polygon,https://codeforces.com/problemset/problem/512/E,2900,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,OR in Matrix,https://codeforces.com/problemset/problem/486/B,1300,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Special Grid,https://codeforces.com/problemset/problem/435/D,2000,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Largest Submatrix 3,https://codeforces.com/problemset/problem/407/D,2700,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Strictly Positive Matrix,https://codeforces.com/problemset/problem/402/E,2200,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Inna and Huge Candy Matrix,https://codeforces.com/problemset/problem/400/C,1500,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Inna and New Matrix of Candies,https://codeforces.com/problemset/problem/400/B,1200,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Inna and Large Sweet Matrix,https://codeforces.com/problemset/problem/390/E,N/A,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Inna and Sweet Matrix,https://codeforces.com/problemset/problem/390/D,N/A,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Maximum Submatrix 2,https://codeforces.com/problemset/problem/375/B,1600,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Counting Rectangles is Fun,https://codeforces.com/problemset/problem/372/B,1900,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Empty Rectangles,https://codeforces.com/problemset/problem/364/E,3000,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Matrix,https://codeforces.com/problemset/problem/364/A,1600,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Two Circles,https://codeforces.com/problemset/problem/363/E,2500,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Vasily the Bear and Triangle,https://codeforces.com/problemset/problem/336/A,1000,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Rectangles and Square,https://codeforces.com/problemset/problem/335/D,2400,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Characteristics of Rectangles,https://codeforces.com/problemset/problem/333/D,2100,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Square and Rectangles,https://codeforces.com/problemset/problem/325/A,1500,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Ilya and Matrix,https://codeforces.com/problemset/problem/313/C,1400,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Rectangle Puzzle II,https://codeforces.com/problemset/problem/303/B,1700,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Polo the Penguin and Matrix,https://codeforces.com/problemset/problem/289/B,1400,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Circle Line,https://codeforces.com/problemset/problem/278/A,800,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Lovely Matrix,https://codeforces.com/problemset/problem/274/D,2200,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Prime Matrix,https://codeforces.com/problemset/problem/271/B,1300,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Maxim and Matrix,https://codeforces.com/problemset/problem/261/C,2000,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Endless Matrix,https://codeforces.com/problemset/problem/249/E,2600,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Good Matrix Elements,https://codeforces.com/problemset/problem/177/A2,800,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Geometry Horse,https://codeforces.com/problemset/problem/175/C,1600,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Games with Rectangle,https://codeforces.com/problemset/problem/128/C,2000,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Petya and Rectangle,https://codeforces.com/problemset/problem/111/E,2900,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Right Triangles,https://codeforces.com/problemset/problem/52/B,1600,Shape,1. Introduction to Shapes
LeetCode,Matrix,566. Reshape the Matrix,https://leetcode.com/problems/reshape-the-matrix/,Easy,LeetCode Problem,1. Introduction to Shapes
LeetCode,Matrix,3733. Length of Longest V-Shaped Diagonal Segment,https://leetcode.com/problems/length-of-longest-v-shaped-diagonal-segment/,Hard,LeetCode Problem,1. Introduction to Shapes
USACO,Shape,Cow Steeplechase,http://www.usaco.org/index.php?page=viewproblem2&cpid=615,Silver,Shape / Geometry,1. Introduction to Shapes
AOJ,Shape,Polygon Area,https://judge.u-aizu.ac.jp/onlinejudge/description.jsp?id=CGL_3_A,Easy,Shape / Area,1. Introduction to Shapes
POJ,Shape,Stars,http://poj.org/problem?id=2352,Easy,Shape / 2D,1. Introduction to Shapes
Baekjoon,Shape / Grid,소용돌이 예쁘게 출력하기,https://www.acmicpc.net/problem/1022,Hard,Grid / Matrix / 2D,1. Introduction to Shapes
Baekjoon,Shape / Grid,8진수 2진수,https://www.acmicpc.net/problem/1212,Easy,Grid / Matrix / 2D,1. Introduction to Shapes
Baekjoon,Shape / Grid,4와 7,https://www.acmicpc.net/problem/2877,Hard,Grid / Matrix / 2D,1. Introduction to Shapes
Baekjoon,Shape / Grid,별 찍기 - 19,https://www.acmicpc.net/problem/10994,Medium,Grid / Matrix / 2D,1. Introduction to Shapes
Baekjoon,Shape / Grid,소가 길을 건너간 이유 1,https://www.acmicpc.net/problem/14467,Easy,Grid / Matrix / 2D,1. Introduction to Shapes
Baekjoon,Shape / Grid,내 선물을 받아줘 2,https://www.acmicpc.net/problem/15886,Medium,Grid / Matrix / 2D,1. Introduction to Shapes
Baekjoon,Shape / Grid,ZOAC,https://www.acmicpc.net/problem/16719,Hard,Grid / Matrix / 2D,1. Introduction to Shapes
Baekjoon,Shape / Grid,배열 돌리기 3,https://www.acmicpc.net/problem/16935,Hard,Grid / Matrix / 2D,1. Introduction to Shapes
Baekjoon,Shape / Grid,배열 돌리기 4,https://www.acmicpc.net/problem/17406,Hard,Grid / Matrix / 2D,1. Introduction to Shapes
Baekjoon,Shape / Grid,배열 돌리기 5,https://www.acmicpc.net/problem/17470,Hard,Grid / Matrix / 2D,1. Introduction to Shapes
Baekjoon,Shape / Grid,배열 돌리기 6,https://www.acmicpc.net/problem/20327,Hard,Grid / Matrix / 2D,1. Introduction to Shapes
Baekjoon,Shape / Grid,ZOAC 3,https://www.acmicpc.net/problem/20436,Medium,Grid / Matrix / 2D,1. Introduction to Shapes
Baekjoon,Shape / Grid,원상 복구 (small),https://www.acmicpc.net/problem/22858,Medium,Grid / Matrix / 2D,1. Introduction to Shapes
Baekjoon,Shape / Grid,HTML 파싱,https://www.acmicpc.net/problem/22859,Hard,Grid / Matrix / 2D,1. Introduction to Shapes
LeetCode,General,2888. Reshape Data: Concatenate,https://leetcode.com/problems/reshape-data-concatenate/,Easy,N/A,1. Introduction to Shapes
LeetCode,General,2889. Reshape Data: Pivot,https://leetcode.com/problems/reshape-data-pivot/,Easy,N/A,1. Introduction to Shapes
LeetCode,General,2890. Reshape Data: Melt,https://leetcode.com/problems/reshape-data-melt/,Easy,N/A,1. Introduction to Shapes
Codeforces,constructive algorithms,2056A. Shape Perimeter,https://codeforces.com/problemset/problem/2056/A,Easy (800),"constructive algorithms, math",1. Introduction to Shapes
